Date & Time,Temperature,Date
01-11-1982 05:00 AM,34,01-11-1982
01-11-1982 06:00 AM,33,01-11-1982
01-11-1982 07:00 AM,32,01-11-1982
01-11-1982 08:00 AM,31,01-11-1982
01-11-1982 09:00 AM,32,01-11-1982
01-11-1982 10:00 AM,32,01-11-1982
01-11-1982 11:00 AM,33,01-11-1982
01-11-1982 07:00 PM,34,01-11-1982
01-11-1982 08:00 PM,33,01-11-1982
01-11-1982 09:00 PM,31,01-11-1982
01-11-1982 10:00 PM,30,01-11-1982
01-11-1982 11:00 PM,29,01-11-1982
01-12-1982 12:00 AM,29,01-12-1982
01-12-1982 01:00 AM,27,01-12-1982
01-12-1982 02:00 AM,30,01-12-1982
01-12-1982 03:00 AM,27,01-12-1982
01-12-1982 04:00 AM,26,01-12-1982
01-12-1982 05:00 AM,25,01-12-1982
01-12-1982 06:00 AM,25,01-12-1982
01-12-1982 07:00 AM,24,01-12-1982
01-12-1982 08:00 AM,25,01-12-1982
01-12-1982 09:00 AM,31,01-12-1982
01-15-1982 02:00 AM,34,01-15-1982
01-15-1982 03:00 AM,33,01-15-1982
01-15-1982 04:00 AM,32,01-15-1982
01-15-1982 05:00 AM,31,01-15-1982
01-15-1982 06:00 AM,29,01-15-1982
01-15-1982 07:00 AM,29,01-15-1982
01-15-1982 08:00 AM,30,01-15-1982
01-13-1983 08:00 AM,34,01-13-1983
01-17-1983 07:00 AM,34,01-17-1983
01-18-1983 03:00 AM,33,01-18-1983
12-25-1983 01:00 AM,34,12-25-1983
12-25-1983 02:00 AM,32,12-25-1983
12-25-1983 03:00 AM,28,12-25-1983
12-25-1983 04:00 AM,26,12-25-1983
12-25-1983 05:00 AM,24,12-25-1983
12-25-1983 06:00 AM,23,12-25-1983
12-25-1983 07:00 AM,22,12-25-1983
12-25-1983 08:00 AM,21,12-25-1983
12-25-1983 09:00 AM,22,12-25-1983
12-25-1983 10:00 AM,25,12-25-1983
12-25-1983 11:00 AM,28,12-25-1983
12-25-1983 12:00 PM,32,12-25-1983
12-25-1983 01:00 PM,33,12-25-1983
12-25-1983 06:00 PM,33,12-25-1983
12-25-1983 07:00 PM,32,12-25-1983
12-25-1983 08:00 PM,31,12-25-1983
12-25-1983 09:00 PM,30,12-25-1983
12-25-1983 10:00 PM,30,12-25-1983
12-25-1983 11:00 PM,29,12-25-1983
12-26-1983 12:00 AM,28,12-26-1983
12-26-1983 01:00 AM,26,12-26-1983
12-26-1983 02:00 AM,24,12-26-1983
12-26-1983 03:00 AM,23,12-26-1983
12-26-1983 04:00 AM,22,12-26-1983
12-26-1983 05:00 AM,22,12-26-1983
12-26-1983 06:00 AM,21,12-26-1983
12-26-1983 07:00 AM,20,12-26-1983
